 M_T	HIFFloxFPBS1-C18Neg	HIFFloxFPBS2-C18Neg	HIFFloxFPBS5-C18Neg	HIFFloxFPBS6-C18Neg	HIFFloxFPBS7-C18Neg	HIFFloxFPBS8-C18Neg	HIFmsdFPBS1-C18Neg	HIFmsdFPBS2-C18Neg	HIFmsdFPBS3-C18Neg	HIFmsdFPBS4-C18Neg	HIFmsdFPBS5-C18Neg	HIFmsdFPBS6-C18Neg	HIFFloxMPBS1-C18Neg	HIFFloxMPBS2-C18Neg	HIFFloxMPBS3-C18Neg	HIFFloxMPBS4-C18Neg	HIFFloxMPBS7-C18Neg	HIFFloxMPBS8-C18Neg	HIFmsdMPBS1-C18Neg	HIFmsdMPBS3-C18Neg	HIFmsdMPBS4-C18Neg	HIFmsdMPBS5-C18Neg	HIFmsdMPBS6-C18Neg	HIFmsdMPBS8-C18Neg
313.054568966141_58.8679770017994	20406.90323	19919.37537	0	0	0	24321.1277	0	0	0	0	0	0	13072.55164	19848.02173	7313.269365	11567.16136	14351.69084	0	0	0	8527.090404	0	13764.91551	18604.77361
243.198621277258_503.905794263712	0	33329.41472	35280.689	0	0	0	42244.70801	0	0	0	0	0	5268.353246	0	0	0	31742.63982	28940.36401	45765.08797	0	10142.5269	0	0	34988.5865
335.893858726898_29.574221762389	25131.38326	15610.65204	21604.89506	32989.6129	30615.1185	28666.49016	10955.46659	34753.4541	0	23740.63927	19382.83937	20607.70578	27319.18054	31765.61826	29941.57709	15022.95949	30992.33458	32366.71902	17147.10423	33565.27849	18721.90626	22134.94324	33430.21749	12160.49343
207.932649026932_168.872665995891	0	0	0	0	0	0	466213.932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312.174894986489_518.879005220873	0	0	0	0	0	0	8240.830585	11238.5223	21329.58222	5042.653671	0	0	0	0	0	0	0	0	7584.40903	11309.12191	13797.12227	13463.71493	10144.24398	12653.06923
242.9455388258_211.303180487962	0	0	0	0	0	0	0	0	0	0	0	0	236276.6859	0	0	0	0	0	0	0	500226.7603	0	0	0
136.91020962878_33.1648878712865	31458.61934	28568.72028	0	14875.06161	33225.47225	33635.37018	33215.44289	30774.91644	32544.46245	0	35022.38947	28751.95749	0	38304.77535	30874.33172	34825.34627	30878.42659	0	31862.11633	14725.52646	17204.09044	27464.59841	13653.303	18618.18815
311.85468317148_16.191226645454	706.3268871	0	936.365084	0	0	0	0	0	0	1045.24652	0	1303.471999	0	0	764.3737716	1070.113239	872.9954113	0	980.552089	0	0	1129.505401	1351.975643	0
259.987793796141_42.3518651142141	0	0	0	0	0	7093.503558	9678.540527	0	0	4694.967884	0	0	0	7579.925322	3788.620513	0	6883.799555	0	0	5824.63639	4620.333592	7339.606049	6362.874831	0
323.174027027045_524.052092911302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77.0141204831768_609.331922940686	0	0	0	0	0	0	0	0	0	0	0	5600.735171	0	0	0	0	0	0	0	0	0	0	0	0
624.208820606701_494.301294015554	3679.926272	2945.998468	2590.901018	3759.907567	3049.418043	3968.670001	2184.566875	4523.059701	7736.103574	1613.312915	2883.156065	3049.75188	4305.450424	3688.545221	0	2082.383339	2165.999833	0	2834.865175	2874.771604	5039.422262	3238.116104	4415.352213	3417.229874
276.056944639627_69.2503809896346	0	1196.533536	0	0	1335.63957	1413.686456	2109.972272	0	0	0	0	1507.252409	0	0	1532.741442	0	0	0	0	0	1352.575846	1384.90363	1241.316332	0
232.057885018956_216.307625739757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210.941989696975_38.0941775162695	0	0	0	663.7480039	0	0	0	0	0	0	0	0	1046.676192	0	0	590.261406	0	0	588.4938496	0	0	506.115553	0	0
633.326990494019_501.778163859268	0	0	0	0	0	0	0	0	846.9227574	0	0	0	0	0	0	0	0	0	528.7116392	0	0	0	0	718.6165225
134.072708426082_549.587985876458	56221.998	0	63502.38392	189109.9893	0	140144.6762	124275.1877	63972.31086	166661.6601	43610.08464	159882.3534	0	84868.82938	72746.24169	73750.60907	122317.9545	34369.31133	59896.25352	125206.1554	140585.8608	176353.3216	43595.28269	43564.50007	163181.3942
148.95311938022_78.3595854716447	195752.6007	189957.5697	108247.9383	284938.754	303991.9099	193459.1546	0	252448.4109	151693.4594	257428.4859	0	142076.8967	209856.5995	239893.892	226355.8616	315214.0257	134664.5555	144333.9104	241525.3048	205351.1961	195916.0236	177033.3563	208539.099	197041.2284
116.907200361294_749.639863370029	100330.1646	95521.40413	107310.1822	134236.7863	39384.37296	105893.7427	150517.8761	0	157090.5283	144454.2504	148738.0302	105797.6633	127055.637	121698.2104	105835.1071	147017.2744	158700.1461	151628.007	150263.4234	122242.7982	159104.7964	106055.4346	134048.8433	207185.7747
545.275615742393_494.291895628947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545.8080523	0	0	0	0	0	0
132.031894374239_573.411206844191	43128.30979	27427.77722	635.3721793	738143.4442	803.3896312	986221.4623	72040.98055	849708.348	95570.63288	68463.74949	215860.6031	0	155509.0057	56616.56762	626078.7399	1550497.404	1288930.925	742441.1309	613713.6368	0	74134.87433	48299.07336	0	69388.48241
421.230349816602_564.751382567855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131.060270456335_185.268482078184	0	0	0	0	0	0	1056.212026	0	0	0	0	774.7841816	753.4446767	0	0	0	0	0	0	0	0	554.6642233	0	0
429.198641603078_573.848726286711	0	0	0	0	0	0	0	0	28040.94946	0	0	62819.16259	0	0	0	0	0	0	0	0	0	0	0	0
504.277606740068_509.910548844313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334.05259470728_72.4669954462755	485.8746681	0	0	0	0	0	0	0	0	0	0	0	651.9236947	0	0	0	0	0	0	0	0	0	0	0
210.108833184369_244.616566496619	1329.428994	970.5967869	1349.925332	1369.985454	1743.99615	1390.874569	2857.2212	1446.626526	1595.040076	318.8191729	607.0029262	1067.407533	0	0	0	1529.36998	1006.062383	1586.86472	1156.856705	527.6713397	0	1159.327627	0	1143.531176
241.126201993168_253.196960576337	2101.827871	1187.145633	5314.210803	1754.381467	3033.150871	2264.535802	3681.032898	2862.097559	1287.214434	1077.960724	1928.570603	2981.455695	0	687.6375969	742.4833565	1103.430874	2322.924635	0	3305.390681	650.939159	838.774847	2701.388601	1251.201151	3795.949378
501.128282978366_46.6180508402611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182.042943406268_42.0185846197658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4154.391043	0	0	0	0	0	0
186.057169367426_183.611019573039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86.0155133584323_603.973853604769	0	762.2159802	0	0	0	0	0	613.0886998	0	0	0	0	0	0	0	0	0	659.8437683	0	473.6454397	584.2206986	0	0	0
198.050896324425_79.8509089732214	9776.086759	0	28112.84212	17683.58371	0	18248.25918	14511.63135	20079.74573	14326.72358	17048.35594	14990.35373	17594.77623	14973.63978	11944.99548	0	10760.86448	14034.90195	0	17669.96739	13285.5714	20910.67987	0	8299.675933	15458.77683
329.193353296197_314.830593721962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
578.920202454326_51.4200696185812	0	0	0	0	1507.694166	2328.084792	1264.387813	2047.780668	0	1811.835138	0	3060.194814	5644.316683	4403.451043	1701.410382	2718.182217	0	0	3005.513365	0	0	0	0	2868.117096
252.97623080304_424.08535439426	1818.228374	0	2029.695327	0	0	0	0	0	0	2155.742162	1966.441655	0	0	0	0	1942.732575	0	0	2268.047073	1736.758127	2299.58336	0	0	0
315.086313975754_79.457880262083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
294.977336116995_70.4476997032285	2442.246233	0	2705.208578	3106.73644	0	1844.59171	0	3000.848911	2061.319798	2715.706847	5017.270885	3413.360609	3515.983146	3870.788937	0	2898.839164	2721.738715	0	4228.81129	3337.457107	3975.706142	2278.54496	1997.975634	4754.865541
154.933463857941_37.4614755040802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170.101029666468_121.131437686546	1507.353671	1317.204613	2746.661354	1358.935241	1753.179226	2106.673688	3947.296529	1969.259849	2002.799689	462.4780122	663.0501006	1842.800845	1062.503905	0	0	1008.466958	0	0	2446.832105	971.005973	0	1390.746028	0	2011.247307
289.064629724608_121.112013789277	977.8627016	884.6703175	1804.419869	1009.040162	1172.030456	966.8605073	1779.76674	1404.416009	1131.067834	0	490.0405134	1415.686411	643.2861601	0	0	590.8829565	838.4806433	0	1145.16037	670.0853853	0	0	0	1339.891106
140.996507830829_585.101717340437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332.220279	0	0	0	0	0	2798.915071	0
200.934549322539_32.6952650503597	0	0	6160.092589	2997.858185	0	3636.664358	0	3217.629413	0	6238.686314	7858.364247	4858.108577	2513.04765	2936.621011	6593.15954	3827.234714	0	6808.657442	0	5744.357782	0	0	0	5954.639042
189.114429995443_272.166385677057	0	0	0	0	0	0	0	0	0	0	0	0	2462.324984	0	0	0	3459.575852	26183.62267	2106.791673	5932.028722	0	0	0	0
279.103591858815_244.580301798254	1478.688613	1035.539386	1697.19206	1614.502572	2120.245949	1440.859685	2929.202733	1254.065836	1677.296975	0	0	1372.188999	736.1759575	659.0222712	0	0	1088.161032	1580.293276	1249.111849	741.4071232	0	1289.750652	0	1347.521487
196.012019301386_163.319080869111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
463.965109727651_52.0503101749566	5028.665095	3141.686485	7840.993146	10081.94336	7871.979771	10869.851	5727.387708	7157.281932	0	5329.41195	7217.394247	9642.426532	8462.886193	3952.116435	1499.32092	3600.318948	7771.182739	0	4572.910251	1546.65498	4521.516523	4953.677273	0	3406.304871
274.975132981858_62.373252224311	2959.19223	2235.363542	2893.701254	5193.381612	4512.389942	4238.249904	4962.505382	3424.340577	5354.852497	2358.086468	2510.670248	0	6609.201769	7566.098201	4994.535384	6159.519252	3064.380453	3898.844441	2240.379288	4622.069317	6188.663363	5537.857377	5433.614866	4454.82839
360.130698933852_59.2006889730133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
457.08932619911_44.8077737347926	4008.740002	4477.804202	6921.547861	4213.198094	4036.420261	4318.556782	4715.734191	5173.756999	1508.263557	5132.099817	5696.808252	4521.911919	2349.868975	0	3105.015043	1996.957314	3174.613365	0	0	5796.001441	3255.965309	2396.139414	0	2832.525858
312.975686815257_339.356545316851	0	0	1383.377226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1608.12332
245.131602324377_183.603381157213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
203.934927354202_42.0967307553986	35926.22552	33937.28763	29616.85378	0	39310.84934	0	0	41607.39952	0	0	51878.62638	42470.41019	34459.02146	0	24444.25048	0	0	0	0	0	57097.70481	0	0	0
214.989752035952_72.2195164110446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2381.302306	0	0	0	2602.956142	0	0	2026.727508	0
